Obs Type,Source,Species,Lat,Lon
Specimen/Lot,NMNH,Bathypolypus bairdii,34.42,-75.77
Specimen/Lot,NMNH,Bathypolypus bairdii,37.75,-74.15
Specimen/Lot,NMNH,Bathypolypus bairdii,42.22,-66.62
Specimen/Lot,NMNH,Bathypolypus bairdii,34.37,-75.72
Specimen/Lot,NMNH,Bathypolypus bairdii,36.51,-74.73833333
Specimen/Lot,NMNH,Bathypolypus bairdii,37.453333,-74.508333
Specimen/Lot,NMNH,Bathypolypus bairdii,39.986667,-70.525
Specimen/Lot,NMNH,Bathypolypus bairdii,39.986667,-70.525
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,38.316667,-73.6
Specimen/Lot,NMNH,Bathypolypus bairdii,34.233333,-75.708333
Specimen/Lot,NMNH,Bathypolypus bairdii,37.051667,-74.611667
Specimen/Lot,NMNH,Bathypolypus bairdii,35.605,-74.785
Specimen/Lot,NMNH,Bathypolypus bairdii,35.605,-74.785
Specimen/Lot,NMNH,Bathypolypus bairdii,36.74,-74.631667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.74,-74.631667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.663333
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.663333
Specimen/Lot,NMNH,Bathypolypus bairdii,36.598333,-74.6525
Specimen/Lot,NMNH,Bathypolypus bairdii,36.598333,-74.6525
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.723333,-74.629167
Specimen/Lot,NMNH,Bathypolypus bairdii,36.723333,-74.629167
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9791665,-74.565
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9791665,-74.565
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9791665,-74.565
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9791665,-74.565
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9791665,-74.565
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9791665,-74.565
Specimen/Lot,NMNH,Bathypolypus bairdii,36.7308335,-74.635
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.9858335,-74.568889
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.700833,-74.6133335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,36.5333335,-74.670833
Specimen/Lot,NMNH,Bathypolypus bairdii,37.05,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.05,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.05,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0591665,-74.5183335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0591665,-74.5183335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0591665,-74.5183335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0591665,-74.5183335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0591665,-74.5183335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0591665,-74.5183335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.704167,-74.5991665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4775,-74.6691665
Specimen/Lot,NMNH,Bathypolypus bairdii,36.723333,-74.629167
Specimen/Lot,NMNH,Bathypolypus bairdii,36.723333,-74.629167
Specimen/Lot,NMNH,Bathypolypus bairdii,36.723333,-74.629167
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.525
