Obs Type,Source,Species,Depth
Specimen/Lot,NMNH,Bathypolypus bairdii,278
Specimen/Lot,NMNH,Bathypolypus bairdii,700
Specimen/Lot,NMNH,Bathypolypus bairdii,700
Specimen/Lot,NMNH,Bathypolypus bairdii,245
Specimen/Lot,NMNH,Bathypolypus bairdii,245
Specimen/Lot,NMNH,Bathypolypus bairdii,245
Specimen/Lot,NMNH,Bathypolypus bairdii,245
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,704
Specimen/Lot,NMNH,Bathypolypus bairdii,268
Specimen/Lot,NMNH,Bathypolypus bairdii,268
Specimen/Lot,NMNH,Bathypolypus bairdii,756
Specimen/Lot,NMNH,Bathypolypus bairdii,756
Specimen/Lot,NMNH,Bathypolypus bairdii,756
Specimen/Lot,NMNH,Bathypolypus bairdii,756
Specimen/Lot,NMNH,Bathypolypus bairdii,756
Specimen/Lot,NMNH,Bathypolypus bairdii,756
Specimen/Lot,NMNH,Bathypolypus bairdii,265
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,708
Specimen/Lot,NMNH,Bathypolypus bairdii,645
